,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
24,160006071,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 12:00:00 AM,09:38,RICHMOND,"ARREST, BOOKED",FULTON ST / 47TH AV,-122.507750131004,37.7714939969416,"(37.7714939969416, -122.507750131004)",16000607119057
25,160006598,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Sunday,01/03/2016 12:00:00 AM,15:09,TARAVAL,"ARREST, BOOKED",0 Block of CAMBON DR,-122.474444639595,37.718302204766,"(37.718302204766, -122.474444639595)",16000659815162
26,160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01/03/2016 12:00:00 AM,10:30,MISSION,NONE,16TH ST / LANDERS ST,-122.427562596985,37.7645752317615,"(37.7645752317615, -122.427562596985)",16000677071010
27,160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01/03/2016 12:00:00 AM,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.419203004268,37.7874378309112,"(37.7874378309112, -122.419203004268)",16000678605014
28,160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01/03/2016 12:00:00 AM,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-122.412690142308,37.7493688284532,"(37.7493688284532, -122.412690142308)",16000695265010
29,160007057,NON-CRIMINAL,AIDED CASE,Sunday,01/03/2016 12:00:00 AM,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-122.434609280352,37.7092010462379,"(37.7092010462379, -122.434609280352)",16000705751040
30,160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/03/2016 12:00:00 AM,15:40,CENTRAL,NONE,500 Block of POST ST,-122.410882825551,37.7879209375533,"(37.7879209375533, -122.410882825551)",16000711007025
31,160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/03/2016 12:00:00 AM,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.401432754722,37.8004566471039,"(37.8004566471039, -122.401432754722)",16000713207021
32,160138652,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/16/2016 12:00:00 AM,12:40,INGLESIDE,NONE,3300 Block of MISSION ST,-122.421128029505,37.7435550542265,"(37.7435550542265, -122.421128029505)",16013865206362
33,160138771,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,02/16/2016 12:00:00 AM,13:10,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,"(37.7865647607685, -122.407244087032)",16013877104012
34,160139490,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803001901,37.7615655928045,"(37.7615655928045, -122.423803001901)",16013949007041
35,160139490,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803001901,37.7615655928045,"(37.7615655928045, -122.423803001901)",16013949026150
36,160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,01/03/2016 12:00:00 AM,19:45,INGLESIDE,NONE,100 Block of AMBER DR,-122.444685482273,37.7441927508932,"(37.7441927508932, -122.444685482273)",16000750261040
37,160148877,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,02/19/2016 12:00:00 AM,16:39,SOUTHERN,NONE,1300 Block of MISSION ST,-122.415757039196,37.7754692820041,"(37.7754692820041, -122.415757039196)",16014887764020
38,160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,01/04/2016 12:00:00 AM,17:50,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)",16000995603044
39,160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01/04/2016 12:00:00 AM,20:15,INGLESIDE,NONE,0 Block of VIRGINIA AV,-122.420967440564,37.7428517374449,"(37.7428517374449, -122.420967440564)",16001032315161
40,160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01/04/2016 12:00:00 AM,21:20,TENDERLOIN,NONE,100 Block of HYDE ST,-122.415669661443,37.7821198488931,"(37.7821198488931, -122.415669661443)",16001048628100
41,160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 12:00:00 AM,21:30,SOUTHERN,NONE,200 Block of 6TH ST,-122.406346425632,37.7791674218963,"(37.7791674218963, -122.406346425632)",16001049219057
42,160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01/04/2016 12:00:00 AM,19:40,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,"(37.7657184395282, -122.409529913278)",16001050506244
43,160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/04/2016 12:00:00 AM,21:45,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16001051164020
44,160010527,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,01/04/2016 12:00:00 AM,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.410738097315,37.767524308783,"(37.767524308783, -122.410738097315)",16001052705151
45,160010527,ARSON,ARSON OF A COMMERCIAL BUILDING,Monday,01/04/2016 12:00:00 AM,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.410738097315,37.767524308783,"(37.767524308783, -122.410738097315)",16001052726032
46,140927099,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.444314025188,37.7131083433264,"(37.7131083433264, -122.444314025188)",14092709905041
47,140927099,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.444314025188,37.7131083433264,"(37.7131083433264, -122.444314025188)",14092709916010
48,141000705,MISSING PERSON,MISSING ADULT,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.403644620439,37.7660160114103,"(37.7660160114103, -122.403644620439)",14100070574000
49,141000705,MISSING PERSON,FOUND PERSON,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.403644620439,37.7660160114103,"(37.7660160114103, -122.403644620439)",14100070575000
50,160010878,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,01/04/2016 12:00:00 AM,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-122.414714295579,37.7762310404758,"(37.7762310404758, -122.414714295579)",16001087804014
51,160010878,MISSING PERSON,FOUND PERSON,Monday,01/04/2016 12:00:00 AM,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-122.414714295579,37.7762310404758,"(37.7762310404758, -122.414714295579)",16001087875000
52,160010890,VEHICLE THEFT,STOLEN TRUCK,Tuesday,01/05/2016 12:00:00 AM,05:25,NORTHERN,NONE,HAYES ST / POLK ST,-122.418045452768,37.7775118895695,"(37.7775118895695, -122.418045452768)",16001089007025
53,160010975,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,07:43,SOUTHERN,"ARREST, CITED",4TH ST / FOLSOM ST,-122.401161555602,37.7820238478975,"(37.7820238478975, -122.401161555602)",16001097565016
54,160011014,WARRANTS,WARRANT ARREST,Tuesday,01/05/2016 12:00:00 AM,02:28,BAYVIEW,"ARREST, BOOKED",2700 Block of SAN BRUNO AV,-122.403408669191,37.72700531963,"(37.72700531963, -122.403408669191)",16001101463010
55,160011177,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01/04/2016 12:00:00 AM,08:00,TENDERLOIN,NONE,300 Block of EDDY ST,-122.412930522059,37.7838344374141,"(37.7838344374141, -122.412930522059)",16001117728160
56,160011183,NON-CRIMINAL,TARASOFF REPORT,Tuesday,01/05/2016 12:00:00 AM,09:45,MISSION,NONE,2700 Block of MISSION ST,-122.418587172219,37.7530186537446,"(37.7530186537446, -122.418587172219)",16001118315095
57,141066456,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,07/07/2016 12:00:00 AM,23:08,SOUTHERN,"ARREST, BOOKED",10TH ST / HOWARD ST,-122.414370627495,37.7740418385041,"(37.7740418385041, -122.414370627495)",14106645627065
58,160011860,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,01/05/2016 12:00:00 AM,14:06,CENTRAL,NONE,200 Block of KEARNY ST,-122.403915681571,37.790538993725,"(37.790538993725, -122.403915681571)",16001186004014
59,160012006,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,15:15,NORTHERN,"ARREST, BOOKED",POLK ST / EDDY ST,-122.419183096362,37.7830998244592,"(37.7830998244592, -122.419183096362)",16001200665016
60,160012012,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,15:14,BAYVIEW,"ARREST, BOOKED",4000 Block of 3RD ST,-122.388753046997,37.7407360548358,"(37.7407360548358, -122.388753046997)",16001201265016
61,160012028,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,14:00,PARK,NONE,DIVISADERO ST / HAYES ST,-122.437799703468,37.7749912944366,"(37.7749912944366, -122.437799703468)",16001202806244
62,160012034,MISSING PERSON,MISSING ADULT,Tuesday,01/05/2016 12:00:00 AM,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-122.421332684633,37.7770902743669,"(37.7770902743669, -122.421332684633)",16001203474000
63,160012034,MISSING PERSON,FOUND PERSON,Tuesday,01/05/2016 12:00:00 AM,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-122.421332684633,37.7770902743669,"(37.7770902743669, -122.421332684633)",16001203475000
64,160012040,WARRANTS,WARRANT ARREST,Tuesday,01/05/2016 12:00:00 AM,14:00,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.446612978839,37.7822458223917,"(37.7822458223917, -122.446612978839)",16001204063010
65,160012266,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,01/05/2016 12:00:00 AM,16:10,BAYVIEW,NONE,SAN BRUNO AV / FELTON ST,-122.404594140634,37.7300379995128,"(37.7300379995128, -122.404594140634)",16001226664020
66,160012307,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,01/05/2016 12:00:00 AM,16:00,CENTRAL,NONE,100 Block of CLAY ST,-122.397373740066,37.7953338267436,"(37.7953338267436, -122.397373740066)",16001230773000
67,160012313,WARRANTS,WARRANT ARREST,Tuesday,01/05/2016 12:00:00 AM,16:22,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-122.407434989523,37.7875158741623,"(37.7875158741623, -122.407434989523)",16001231363010
68,160012329,PROSTITUTION,SOLICITS LEWD ACT,Tuesday,01/05/2016 12:00:00 AM,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-122.403464080033,37.7785233776032,"(37.7785233776032, -122.403464080033)",16001232913110
69,160012329,OTHER OFFENSES,INDECENT EXPOSURE,Tuesday,01/05/2016 12:00:00 AM,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-122.403464080033,37.7785233776032,"(37.7785233776032, -122.403464080033)",16001232914040
70,160012692,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,01/05/2016 12:00:00 AM,15:30,PARK,NONE,1000 Block of OAK ST,-122.436614181331,37.773291806903,"(37.773291806903, -122.436614181331)",16001269261030
71,160012711,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,01/05/2016 12:00:00 AM,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-122.396849015172,37.780527578509,"(37.780527578509, -122.396849015172)",16001271116710
72,160012711,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,01/05/2016 12:00:00 AM,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-122.396849015172,37.780527578509,"(37.780527578509, -122.396849015172)",16001271162050
73,160013361,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Tuesday,01/05/2016 12:00:00 AM,19:30,INGLESIDE,NONE,300 Block of JUDSON AV,-122.450000790445,37.7284180706602,"(37.7284180706602, -122.450000790445)",16001336106240
74,160013377,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,23:22,BAYVIEW,"ARREST, BOOKED",PHELPS ST / CARROLL AV,-122.400834283031,37.7292114647359,"(37.7292114647359, -122.400834283031)",16001337765016
75,160013383,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,20:40,SOUTHERN,NONE,MISSION ST / 2ND ST,-122.399802145799,37.7880065324392,"(37.7880065324392, -122.399802145799)",16001338306244
76,160013399,SECONDARY CODES,JUVENILE INVOLVED,Tuesday,01/05/2016 12:00:00 AM,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",16001339915500
77,160013399,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,01/05/2016 12:00:00 AM,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",16001339964085
78,160013399,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,01/05/2016 12:00:00 AM,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",16001339965015
79,160013402,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,20:30,CENTRAL,NONE,600 Block of TAYLOR ST,-122.41185703254,37.7883235449904,"(37.7883235449904, -122.41185703254)",16001340206244
80,160013418,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,23:30,MISSION,"ARREST, BOOKED",22ND ST / BRYANT ST,-122.409435617106,37.7559977339856,"(37.7559977339856, -122.409435617106)",16001341865016
81,160189188,NON-CRIMINAL,LOST PROPERTY,Wednesday,03/02/2016 12:00:00 AM,15:00,NORTHERN,NONE,1500 Block of SUTTER ST,-122.425883358148,37.7870798144443,"(37.7870798144443, -122.425883358148)",16018918871000
82,160013703,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Tuesday,01/05/2016 12:00:00 AM,19:45,INGLESIDE,NONE,200 Block of OGDEN AV,-122.415126543001,37.7360374466862,"(37.7360374466862, -122.415126543001)",16001370371012
83,160013719,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01/06/2016 12:00:00 AM,09:00,INGLESIDE,"ARREST, BOOKED",GENEVA AV / PRAGUE ST,-122.431928011089,37.712767884821,"(37.712767884821, -122.431928011089)",16001371965016
84,160013725,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,01/06/2016 12:00:00 AM,08:10,CENTRAL,"ARREST, BOOKED",0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863,"(37.7895710255863, -122.402163713618)",16001372519090
85,160013822,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,01/06/2016 12:00:00 AM,09:21,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.429306728376,37.7307429169559,"(37.7307429169559, -122.429306728376)",16001382265010
86,160013872,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,01/05/2016 12:00:00 AM,23:59,TENDERLOIN,NONE,300 Block of EDDY ST,-122.413790972781,37.7838365565348,"(37.7838365565348, -122.413790972781)",16001387228150
87,160013888,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01/06/2016 12:00:00 AM,09:46,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.429306728376,37.7307429169559,"(37.7307429169559, -122.429306728376)",16001388865016
88,160013913,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,01/06/2016 12:00:00 AM,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.422067184937,37.7373623605213,"(37.7373623605213, -122.422067184937)",16001391315200
89,160013913,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,01/06/2016 12:00:00 AM,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.422067184937,37.7373623605213,"(37.7373623605213, -122.422067184937)",16001391328150
90,160014369,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,01/05/2016 12:00:00 AM,01:00,TENDERLOIN,NONE,400 Block of OFARRELL ST,-122.411747371924,37.7859988323798,"(37.7859988323798, -122.411747371924)",16001436964070
91,160014375,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01/06/2016 12:00:00 AM,12:13,MISSION,"ARREST, BOOKED",17TH ST / HOFF ST,-122.420434724553,37.7633758058059,"(37.7633758058059, -122.420434724553)",16001437565016
92,160014381,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,01/01/2016 12:00:00 AM,08:00,TENDERLOIN,NONE,300 Block of ELLIS ST,-122.411987643595,37.7850226622786,"(37.7850226622786, -122.411987643595)",16001438161030
93,160014397,OTHER OFFENSES,FALSE PERSONATION,Monday,01/04/2016 12:00:00 AM,15:10,RICHMOND,NONE,700 Block of 40TH AV,-122.500380427915,37.7746206491065,"(37.7746206491065, -122.500380427915)",16001439709027
94,160014836,ROBBERY,ROBBERY OF A CHAIN STORE WITH A KNIFE,Wednesday,01/06/2016 12:00:00 AM,14:23,RICHMOND,NONE,700 Block of CABRILLO ST,-122.466558780683,37.7751918267217,"(37.7751918267217, -122.466558780683)",16001483603042
95,160014858,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,01/06/2016 12:00:00 AM,06:00,TARAVAL,NONE,2000 Block of 29TH AV,-122.486925960114,37.7490841729028,"(37.7490841729028, -122.486925960114)",16001485809024
96,160015163,NON-CRIMINAL,AIDED CASE,Wednesday,01/06/2016 12:00:00 AM,16:09,MISSION,NONE,14TH ST / FOLSOM ST,-122.41561633832,37.7685360123583,"(37.7685360123583, -122.41561633832)",16001516351040
97,160015276,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Tuesday,01/05/2016 12:00:00 AM,20:00,PARK,NONE,1000 Block of COLE ST,-122.449751652563,37.7644297714074,"(37.7644297714074, -122.449751652563)",16001527605073
98,160015276,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,20:00,PARK,NONE,1000 Block of COLE ST,-122.449751652563,37.7644297714074,"(37.7644297714074, -122.449751652563)",16001527606224
99,160015282,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,17:00,TARAVAL,NONE,0 Block of ARDENWOOD WY,-122.472715759631,37.7352681469084,"(37.7352681469084, -122.472715759631)",16001528206244
100,160015470,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,01/06/2016 12:00:00 AM,09:00,TARAVAL,NONE,2500 Block of KIRKHAM ST,-122.488120173893,37.7592805524173,"(37.7592805524173, -122.488120173893)",16001547005041
101,160015486,ROBBERY,"ROBBERY, BODILY FORCE",Wednesday,01/06/2016 12:00:00 AM,17:20,MISSION,JUVENILE BOOKED,CAPP ST / 22ND ST,-122.417660640341,37.7555043420028,"(37.7555043420028, -122.417660640341)",16001548603074
102,160212234,TRESPASS,TRESPASSING,Sunday,03/13/2016 12:00:00 AM,12:15,SOUTHERN,"ARREST, BOOKED",100 Block of 3RD ST,-122.401027740415,37.7853906306613,"(37.7853906306613, -122.401027740415)",16021223427195
103,160212240,SECONDARY CODES,JUVENILE INVOLVED,Sunday,03/13/2016 12:00:00 AM,11:45,NORTHERN,NONE,400 Block of PAGE ST,-122.428178458093,37.773295406746,"(37.773295406746, -122.428178458093)",16021224015500
104,160016337,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,01/07/2016 12:00:00 AM,01:25,INGLESIDE,"ARREST, BOOKED",GENEVA AV / CAYUGA AV,-122.443696904615,37.718927976006,"(37.718927976006, -122.443696904615)",16001633765016
105,160016343,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,01/07/2016 12:00:00 AM,01:17,TARAVAL,NONE,3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)",16001634364070
106,160016428,WARRANTS,WARRANT ARREST,Thursday,01/07/2016 12:00:00 AM,03:30,TARAVAL,"ARREST, BOOKED",0 Block of SERRANO DR,-122.475924482317,37.7201092063584,"(37.7201092063584, -122.475924482317)",16001642863010
